fixed,harmed,net,switches,stateroll_only_recovered,bsl_top1,selector_top1,split,gate,gate_rule,gate_model,score,harmed_budget,threshold,candidate_topk
0,0,0,2,0,82.0,82.0,splitA_train42_44_val45_47,global,all_episodes,none,raw_cost,0,0.988313,1
0,0,0,2,0,82.0,82.0,splitA_train42_44_val45_47,global,all_episodes,none,raw_cost,1,0.988313,1
0,2,-2,7,0,82.0,81.33333333333333,splitA_train42_44_val45_47,global,all_episodes,none,raw_cost,2,0.913029,1
1,0,1,1,1,82.0,82.33333333333334,splitA_train42_44_val45_47,global,all_episodes,none,bce,0,1.933114,1
1,0,1,1,1,82.0,82.33333333333334,splitA_train42_44_val45_47,global,all_episodes,none,bce,1,1.933114,1
1,0,1,1,1,82.0,82.33333333333334,splitA_train42_44_val45_47,global,all_episodes,none,bce,2,1.933114,1
8,2,6,24,7,82.0,84.0,splitA_train42_44_val45_47,global,all_episodes,none,rank_preserve,0,1.974499,1
9,3,6,32,8,82.0,84.0,splitA_train42_44_val45_47,global,all_episodes,none,rank_preserve,1,1.678343,1
9,3,6,32,8,82.0,84.0,splitA_train42_44_val45_47,global,all_episodes,none,rank_preserve,2,1.678343,1
0,0,0,2,0,82.0,82.0,splitA_train42_44_val45_47,global,all_episodes,none,selector_v3_raw,0,0.494157,1
0,0,0,2,0,82.0,82.0,splitA_train42_44_val45_47,global,all_episodes,none,selector_v3_raw,1,0.494157,1
0,2,-2,7,0,82.0,81.33333333333333,splitA_train42_44_val45_47,global,all_episodes,none,selector_v3_raw,2,0.456514,1
5,2,3,17,4,82.0,83.0,splitA_train42_44_val45_47,global,all_episodes,none,agreement_bce_rank,0,1.974499,1
5,3,2,23,4,82.0,82.66666666666667,splitA_train42_44_val45_47,global,all_episodes,none,agreement_bce_rank,1,1.678343,1
5,3,2,23,4,82.0,82.66666666666667,splitA_train42_44_val45_47,global,all_episodes,none,agreement_bce_rank,2,1.678343,1
4,1,3,9,4,82.0,83.0,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,raw_cost,0,-4.470886,1
4,1,3,9,4,82.0,83.0,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,raw_cost,1,-4.470886,1
4,1,3,9,4,82.0,83.0,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,raw_cost,2,-4.470886,1
3,1,2,9,3,82.0,82.66666666666667,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,bce,0,-1.856054,1
3,1,2,9,3,82.0,82.66666666666667,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,bce,1,-1.856054,1
3,1,2,9,3,82.0,82.66666666666667,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,bce,2,-1.856054,1
4,1,3,9,4,82.0,83.0,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,rank_preserve,0,-2.596773,1
4,1,3,9,4,82.0,83.0,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,rank_preserve,1,-2.596773,1
4,1,3,9,4,82.0,83.0,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,rank_preserve,2,-2.596773,1
4,1,3,9,4,82.0,83.0,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,selector_v3_raw,0,-2.235443,1
4,1,3,9,4,82.0,83.0,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,selector_v3_raw,1,-2.235443,1
4,1,3,9,4,82.0,83.0,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,selector_v3_raw,2,-2.235443,1
2,0,2,4,2,82.0,82.66666666666667,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,agreement_bce_rank,0,-2.596773,1
2,0,2,4,2,82.0,82.66666666666667,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,agreement_bce_rank,1,-2.596773,1
2,0,2,4,2,82.0,82.66666666666667,splitA_train42_44_val45_47,fixed_precision,top10+st_gap_bottom20+AND,extratrees,agreement_bce_rank,2,-2.596773,1
8,1,7,30,5,82.0,84.33333333333334,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,raw_cost,0,-4.470886,1
8,1,7,30,5,82.0,84.33333333333334,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,raw_cost,1,-4.470886,1
8,1,7,30,5,82.0,84.33333333333334,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,raw_cost,2,-4.470886,1
4,1,3,30,4,82.0,83.0,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,bce,0,-1.856054,1
4,1,3,30,4,82.0,83.0,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,bce,1,-1.856054,1
4,1,3,30,4,82.0,83.0,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,bce,2,-1.856054,1
8,1,7,30,5,82.0,84.33333333333334,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,rank_preserve,0,-2.596773,1
8,1,7,30,5,82.0,84.33333333333334,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,rank_preserve,1,-2.596773,1
8,1,7,30,5,82.0,84.33333333333334,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,rank_preserve,2,-2.596773,1
8,1,7,30,5,82.0,84.33333333333334,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,selector_v3_raw,0,-2.235443,1
8,1,7,30,5,82.0,84.33333333333334,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,selector_v3_raw,1,-2.235443,1
8,1,7,30,5,82.0,84.33333333333334,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,selector_v3_raw,2,-2.235443,1
2,0,2,13,2,82.0,82.66666666666667,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,agreement_bce_rank,0,-2.596773,1
2,0,2,13,2,82.0,82.66666666666667,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,agreement_bce_rank,1,-2.596773,1
2,0,2,13,2,82.0,82.66666666666667,splitA_train42_44_val45_47,detector_v2,fp_le_3_max30,logistic,agreement_bce_rank,2,-2.596773,1
0,0,0,0,0,80.0,80.0,splitB_train45_47_val42_44,global,all_episodes,none,raw_cost,0,0.943073,1
0,0,0,0,0,80.0,80.0,splitB_train45_47_val42_44,global,all_episodes,none,raw_cost,1,0.943073,1
0,0,0,0,0,80.0,80.0,splitB_train45_47_val42_44,global,all_episodes,none,raw_cost,2,0.943073,1
0,0,0,0,0,80.0,80.0,splitB_train45_47_val42_44,global,all_episodes,none,bce,0,1.957006,1
0,3,-3,18,0,80.0,79.0,splitB_train45_47_val42_44,global,all_episodes,none,bce,1,1.484636,1
0,3,-3,18,0,80.0,79.0,splitB_train45_47_val42_44,global,all_episodes,none,bce,2,1.484636,1
11,0,11,24,9,80.0,83.66666666666667,splitB_train45_47_val42_44,global,all_episodes,none,rank_preserve,0,1.701487,1
11,0,11,24,9,80.0,83.66666666666667,splitB_train45_47_val42_44,global,all_episodes,none,rank_preserve,1,1.701487,1
11,0,11,24,9,80.0,83.66666666666667,splitB_train45_47_val42_44,global,all_episodes,none,rank_preserve,2,1.701487,1
0,0,0,0,0,80.0,80.0,splitB_train45_47_val42_44,global,all_episodes,none,selector_v3_raw,0,0.471537,1
0,0,0,0,0,80.0,80.0,splitB_train45_47_val42_44,global,all_episodes,none,selector_v3_raw,1,0.471537,1
0,0,0,0,0,80.0,80.0,splitB_train45_47_val42_44,global,all_episodes,none,selector_v3_raw,2,0.471537,1
8,0,8,17,6,80.0,82.66666666666667,splitB_train45_47_val42_44,global,all_episodes,none,agreement_bce_rank,0,1.701487,1
8,0,8,17,6,80.0,82.66666666666667,splitB_train45_47_val42_44,global,all_episodes,none,agreement_bce_rank,1,1.701487,1
8,0,8,17,6,80.0,82.66666666666667,splitB_train45_47_val42_44,global,all_episodes,none,agreement_bce_rank,2,1.701487,1
2,1,1,8,2,80.0,80.33333333333333,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,raw_cost,0,-2.535207,1
2,1,1,8,2,80.0,80.33333333333333,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,raw_cost,1,-2.535207,1
2,1,1,8,2,80.0,80.33333333333333,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,raw_cost,2,-2.535207,1
0,1,-1,8,0,80.0,79.66666666666666,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,bce,0,-2.016884,1
0,1,-1,8,0,80.0,79.66666666666666,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,bce,1,-2.016884,1
0,1,-1,8,0,80.0,79.66666666666666,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,bce,2,-2.016884,1
2,1,1,8,2,80.0,80.33333333333333,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,rank_preserve,0,-2.101803,1
2,1,1,8,2,80.0,80.33333333333333,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,rank_preserve,1,-2.101803,1
2,1,1,8,2,80.0,80.33333333333333,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,rank_preserve,2,-2.101803,1
2,1,1,8,2,80.0,80.33333333333333,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,selector_v3_raw,0,-1.267604,1
2,1,1,8,2,80.0,80.33333333333333,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,selector_v3_raw,1,-1.267604,1
2,1,1,8,2,80.0,80.33333333333333,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,selector_v3_raw,2,-1.267604,1
0,1,-1,4,0,80.0,79.66666666666666,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,agreement_bce_rank,0,-2.101803,1
0,1,-1,4,0,80.0,79.66666666666666,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,agreement_bce_rank,1,-2.101803,1
0,1,-1,4,0,80.0,79.66666666666666,splitB_train45_47_val42_44,fixed_precision,top10+abs_gap_top10+AND,randomforest,agreement_bce_rank,2,-2.101803,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,raw_cost,0,-2.535207,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,raw_cost,1,-2.535207,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,raw_cost,2,-2.535207,1
5,1,4,29,2,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,bce,0,-2.016884,1
5,1,4,29,2,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,bce,1,-2.016884,1
5,1,4,29,2,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,bce,2,-2.016884,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,rank_preserve,0,-2.101803,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,rank_preserve,1,-2.101803,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,rank_preserve,2,-2.101803,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,selector_v3_raw,0,-1.267604,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,selector_v3_raw,1,-1.267604,1
7,1,6,29,4,80.0,82.0,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,selector_v3_raw,2,-1.267604,1
4,0,4,17,1,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,agreement_bce_rank,0,-2.101803,1
4,0,4,17,1,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,agreement_bce_rank,1,-2.101803,1
4,0,4,17,1,80.0,81.33333333333333,splitB_train45_47_val42_44,detector_v2,fp_le_3_max30,logistic,agreement_bce_rank,2,-2.101803,1
6,0,6,30,3,,82.0,OOF,detector_v2,,,agreement_bce_rank,0,,1
6,0,6,30,3,,82.0,OOF,detector_v2,,,agreement_bce_rank,1,,1
6,0,6,30,3,,82.0,OOF,detector_v2,,,agreement_bce_rank,2,,1
9,2,7,59,6,,82.16666666666667,OOF,detector_v2,,,bce,0,,1
9,2,7,59,6,,82.16666666666667,OOF,detector_v2,,,bce,1,,1
9,2,7,59,6,,82.16666666666667,OOF,detector_v2,,,bce,2,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,rank_preserve,0,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,rank_preserve,1,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,rank_preserve,2,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,raw_cost,0,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,raw_cost,1,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,raw_cost,2,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,selector_v3_raw,0,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,selector_v3_raw,1,,1
15,2,13,59,9,,83.16666666666667,OOF,detector_v2,,,selector_v3_raw,2,,1
2,1,1,8,2,,81.16666666666667,OOF,fixed_precision,,,agreement_bce_rank,0,,1
2,1,1,8,2,,81.16666666666667,OOF,fixed_precision,,,agreement_bce_rank,1,,1
2,1,1,8,2,,81.16666666666667,OOF,fixed_precision,,,agreement_bce_rank,2,,1
3,2,1,17,3,,81.16666666666667,OOF,fixed_precision,,,bce,0,,1
3,2,1,17,3,,81.16666666666667,OOF,fixed_precision,,,bce,1,,1
3,2,1,17,3,,81.16666666666667,OOF,fixed_precision,,,bce,2,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,rank_preserve,0,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,rank_preserve,1,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,rank_preserve,2,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,raw_cost,0,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,raw_cost,1,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,raw_cost,2,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,selector_v3_raw,0,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,selector_v3_raw,1,,1
6,2,4,17,6,,81.66666666666667,OOF,fixed_precision,,,selector_v3_raw,2,,1
13,2,11,34,10,,82.83333333333333,OOF,global,,,agreement_bce_rank,0,,1
13,3,10,40,10,,82.66666666666667,OOF,global,,,agreement_bce_rank,1,,1
13,3,10,40,10,,82.66666666666667,OOF,global,,,agreement_bce_rank,2,,1
1,0,1,1,1,,81.16666666666667,OOF,global,,,bce,0,,1
1,3,-2,19,1,,80.66666666666667,OOF,global,,,bce,1,,1
1,3,-2,19,1,,80.66666666666667,OOF,global,,,bce,2,,1
19,2,17,48,16,,83.83333333333333,OOF,global,,,rank_preserve,0,,1
20,3,17,56,17,,83.83333333333333,OOF,global,,,rank_preserve,1,,1
20,3,17,56,17,,83.83333333333333,OOF,global,,,rank_preserve,2,,1
0,0,0,2,0,,81.0,OOF,global,,,raw_cost,0,,1
0,0,0,2,0,,81.0,OOF,global,,,raw_cost,1,,1
0,2,-2,7,0,,80.66666666666667,OOF,global,,,raw_cost,2,,1
0,0,0,2,0,,81.0,OOF,global,,,selector_v3_raw,0,,1
0,0,0,2,0,,81.0,OOF,global,,,selector_v3_raw,1,,1
0,2,-2,7,0,,80.66666666666667,OOF,global,,,selector_v3_raw,2,,1
